(-993225458979902109, 35) 1 | (35, 993225458979902109) 6
(-993140056203848413, 616963486467224) 8 | (616963486467224, 993140056203848413) 2
(-988594497039182422, 316343707027576689) 5 | (316343707027576689, 988594497039182422) 5
(-986916869950608497, 6786) 12 | (6786, 986916869950608497) 17
(-983629612774895569, 785294383017) 2 | (785294383017, 983629612774895569) 1
(-975077347350490331, 80087539750561199) 1 | (80087539750561199, 975077347350490331) 9
(-972765668261113327, 373215601337579024) 1 | (373215601337579024, 972765668261113327) 9
(-969292900451756541, 1358306122) 1 | (1358306122, 969292900451756541) 2
(-968333654201879059, 431129260703184180) 564 | (431129260703184180, 968333654201879059) 285
(-966563689751191641, 70429445) 1 | (70429445, 966563689751191641) 5
(-965492680007493163, 59173256292834765) 6 | (59173256292834765, 965492680007493163) 1
(-963847194267339014, 14236130959) 6 | (14236130959, 963847194267339014) 2
(-954982202121648381, 175043195930743406) 2 | (175043195930743406, 954982202121648381) 1
(-951628802578106565, 848114069051) 11 | (848114069051, 951628802578106565) 2
(-945684251683749643, 3843134020) 1 | (3843134020, 945684251683749643) 7
(-939455212963830577, 89097833608206323) 2 | (89097833608206323, 939455212963830577) 7
(-925449796312085891, 742688793721220065) 8 | (742688793721220065, 925449796312085891) 0
(-924099673023289816, 700854180203969339) 1 | (700854180203969339, 924099673023289816) 2
(-920096843975497249, 1765346733277) 3 | (1765346733277, 920096843975497249) 1
(-914749761665615855, 151210114623255676) 6 | (151210114623255676, 914749761665615855) 0
(-911706527596729301, 7628147) 4 | (7628147, 911706527596729301) 94
(-908615611189926549, 243458594424628316) 5 | (243458594424628316, 908615611189926549) 5
(-906923332371632904, 16298530649) 5 | (16298530649, 906923332371632904) 1
(-903777810598462205, 119954014448898167) 5 | (119954014448898167, 903777810598462205) 3
(-899051928344749143, 546205824317579) 4 | (546205824317579, 899051928344749143) 1
(-895126656887258218, 4313) 1 | (4313, 895126656887258218) 1
(-893221695912288937, 654759983964205505) 6 | (654759983964205505, 893221695912288937) 0
(-887877724249504828, 434992139819247) 3 | (434992139819247, 887877724249504828) 3
(-879844156960037650, 940614535213273) 1 | (940614535213273, 879844156960037650) 5
(-866795215694353113, 858381664667856767) 4 | (858381664667856767, 866795215694353113) 6
(-866603426695289544, 135136217694344941) 44 | (135136217694344941, 866603426695289544) 8
(-865456899854194375, 62450212307037) 5 | (62450212307037, 865456899854194375) 1
(-862666209056879203, 7526493490) 1 | (7526493490, 862666209056879203) 6
(-862584164818624457, 7459664760746163) 3 | (7459664760746163, 862584164818624457) 1
(-846586832835168339, 552531712585587074) 1 | (552531712585587074, 846586832835168339) 2
(-845947535756647753, 53774060789300) 7 | (53774060789300, 845947535756647753) 3
(-842918608424579445, 262422189160167457) 3 | (262422189160167457, 842918608424579445) 2
(-841067247941636810, 786435456082773) 7 | (786435456082773, 841067247941636810) 1
(-836630684243206697, 817361888424689648) 6 | (817361888424689648, 836630684243206697) 1
(-835055219423704127, 164571463498128299) 5 | (164571463498128299, 835055219423704127) 4
(-829205721785810871, 957558951859928078) 4 | (957558951859928078, 829205721785810871) 1
(-806927973546525395, 248552799410493746) 1 | (248552799410493746, 806927973546525395) 4
(-797368974098725399, 7429) 4 | (7429, 797368974098725399) 1
(-796946134220019485, 216148792289957678) 2 | (216148792289957678, 796946134220019485) 5
(-794517171163160163, 143714410709650322) 5 | (143714410709650322, 794517171163160163) 3
(-791990332838535719, 137541052409489388) 1 | (137541052409489388, 791990332838535719) 1
(-788187618064887698, 163436622355283055) 5 | (163436622355283055, 788187618064887698) 1
(-777913276291200173, 290836549252928715) 1 | (290836549252928715, 777913276291200173) 2
(-775978023606079376, 180651388289) 14 | (180651388289, 775978023606079376) 11
(-774204114483698727, 826349460499393477) 1 | (826349460499393477, 774204114483698727) 1
(-772370272900611359, 1931707) 2 | (1931707, 772370272900611359) 2
(-765018432943685813, 6706067) 2 | (6706067, 765018432943685813) 7
(-758097165981482734, 54161695842312229) 3 | (54161695842312229, 758097165981482734) 7
(-753725863361654917, 752593236453459636) 2 | (752593236453459636, 753725863361654917) 3
(-751981250404995768, 7127357766750179) 6 | (7127357766750179, 751981250404995768) 2
(-742958848501391819, 5209554860) 9 | (5209554860, 742958848501391819) 1
(-733755108805686206, 4856257300300591) 33 | (4856257300300591, 733755108805686206) 20
(-732536939247522800, 9026133359449) 2 | (9026133359449, 732536939247522800) 2
(-731437193643821783, 664425854635525860) 1 | (664425854635525860, 731437193643821783) 2
(-727104640129342627, 3) 7 | (3, 727104640129342627) 0
(-718347989252710058, 4167644963) 1 | (4167644963, 718347989252710058) 8
(-718335287667038048, 1) 4 | (1, 718335287667038048) 5
(-713081925334489127, 47683034841258974) 8 | (47683034841258974, 713081925334489127) 0
(-712998524152890217, 372010080944600134) 3 | (372010080944600134, 712998524152890217) 5
(-690806778267227525, 44765041825026) 1 | (44765041825026, 690806778267227525) 5
(-688848061951689527, 854780673276334638) 2 | (854780673276334638, 688848061951689527) 3
(-688123778315296444, 199681718004575167) 1 | (199681718004575167, 688123778315296444) 2
(-683511766183541831, 86030366749333013) 3 | (86030366749333013, 683511766183541831) 3
(-678484952114745385, 998618846196052276) 1 | (998618846196052276, 678484952114745385) 1
(-676207096916092448, 913) 2 | (913, 676207096916092448) 1
(-669109575226529496, 6131) 1 | (6131, 669109575226529496) 3
(-665420388702253867, 3119194235056678) 4 | (3119194235056678, 665420388702253867) 4
(-663977585435688407, 72337849) 1 | (72337849, 663977585435688407) 2
(-636944905243757318, 552367650326347511) 6 | (552367650326347511, 636944905243757318) 28
(-628927726371967019, 3724376950157) 1 | (3724376950157, 628927726371967019) 3
(-626067825836151837, 286195173966264533) 2 | (286195173966264533, 626067825836151837) 5
(-619578764427940558, 487430116423337445) 1 | (487430116423337445, 619578764427940558) 1
(-614708799127557898, 61892186604791675) 6 | (61892186604791675, 614708799127557898) 1
(-612482896455951533, 680018) 1 | (680018, 612482896455951533) 2
(-610997156883285056, 634756686289090253) 5 | (634756686289090253, 610997156883285056) 5
(-609166809938693576, 5418303) 2 | (5418303, 609166809938693576) 2
(-607549718121198017, 61) 2 | (61, 607549718121198017) 7
(-607320640942497427, 21129630019813287) 1 | (21129630019813287, 607320640942497427) 8
(-596940562780591843, 605855345948615605) 1 | (605855345948615605, 596940562780591843) 4
(-586133246523368107, 580840346157684874) 4 | (580840346157684874, 586133246523368107) 4
(-576698855893666500, 250020282053087897) 1 | (250020282053087897, 576698855893666500) 6
(-571524876818475515, 25241130088606) 2 | (25241130088606, 571524876818475515) 1
(-569079972021519365, 194798871466774449) 1 | (194798871466774449, 569079972021519365) 1
(-568776847230449352, 263685607947115727) 10 | (263685607947115727, 568776847230449352) 47
(-561478174594387993, 969235802037367802) 3 | (969235802037367802, 561478174594387993) 3
(-553393296421063719, 130456557404648791) 2 | (130456557404648791, 553393296421063719) 3
(-546772499871619702, 87534319) 5 | (87534319, 546772499871619702) 5
(-538494570409952756, 969123809) 10 | (969123809, 538494570409952756) 0
(-533334995283748394, 340702191558610649) 4 | (340702191558610649, 533334995283748394) 3
(-530368787464552457, 101443554) 1 | (101443554, 530368787464552457) 2
(-520180913795734703, 173469387937931158) 25 | (173469387937931158, 520180913795734703) 24
(-517034161392264142, 774799806204081555) 8 | (774799806204081555, 517034161392264142) 1
(-508884703967923417, 692606354641805654) 3 | (692606354641805654, 508884703967923417) 1
(-506709531280541903, 68) 8 | (68, 506709531280541903) 0
(-496240925922966609, 684183405542115958) 1 | (684183405542115958, 496240925922966609) 3
(-493668866776399043, 501954411229671926) 9 | (501954411229671926, 493668866776399043) 1
(-493606130192648283, 24422) 1 | (24422, 493606130192648283) 0
(-493499843158912572, 448925330233594669) 2 | (448925330233594669, 493499843158912572) 3
(-493119036017869260, 8768672027) 9 | (8768672027, 493119036017869260) 0
(-486817998532388751, 248353345364963078) 12 | (248353345364963078, 486817998532388751) 52
(-479127846327640295, 43073430137558408) 6 | (43073430137558408, 479127846327640295) 3
(-475909271091843791, 558638474678868716) 7 | (558638474678868716, 475909271091843791) 3
(-462769264075117693, 141697263888162116) 5 | (141697263888162116, 462769264075117693) 1
(-460887373926454416, 912269763523640101) 1 | (912269763523640101, 460887373926454416) 3
(-453024817641599081, 725605602106911892) 3 | (725605602106911892, 453024817641599081) 0
(-450743885646685845, 421254093763781446) 1 | (421254093763781446, 450743885646685845) 6
(-443916928297111235, 948108223726837123) 1 | (948108223726837123, 443916928297111235) 2
(-434356949184356363, 95263527702608993) 3 | (95263527702608993, 434356949184356363) 4
(-425357553193623292, 194004528552008173) 6 | (194004528552008173, 425357553193623292) 2
(-419155181790219031, 306720214614918175) 2 | (306720214614918175, 419155181790219031) 2
(-416825715118563179, 1983080875200) 2 | (1983080875200, 416825715118563179) 0
(-413621997303888700, 27) 1 | (27, 413621997303888700) 2
(-411121000894301662, 547227809025066725) 1 | (547227809025066725, 411121000894301662) 4
(-408105699860216742, 7) 5 | (7, 408105699860216742) 1
(-407885396358242970, 19187) 2 | (19187, 407885396358242970) 2
(-404071099412522773, 276684) 1 | (276684, 404071099412522773) 1
(-402387499107079836, 599493180623234545) 1 | (599493180623234545, 402387499107079836) 7
(-396602475127020945, 379) 3 | (379, 396602475127020945) 2
(-390757761963846327, 950) 3 | (950, 390757761963846327) 1
(-390235240596638974, 351298035989090457) 7 | (351298035989090457, 390235240596638974) 1
(-386889221902678926, 24036000655) 2 | (24036000655, 386889221902678926) 1
(-382709159519750153, 76875967869948023) 4 | (76875967869948023, 382709159519750153) 3
(-380521972510242899, 973176136239620451) 27 | (973176136239620451, 380521972510242899) 0
(-378399839717109098, 11) 1 | (11, 378399839717109098) 0
(-371199713816426002, 701720763480403959) 1 | (701720763480403959, 371199713816426002) 0
(-368746918591188299, 322501737001067) 6 | (322501737001067, 368746918591188299) 0
(-366675676889298161, 783956830000721339) 6 | (783956830000721339, 366675676889298161) 2
(-358225116398724103, 166886639017298857) 6 | (166886639017298857, 358225116398724103) 1
(-357644136321737853, 6922321904) 8 | (6922321904, 357644136321737853) 0
(-356268697786224225, 124052925464748758) 93 | (124052925464748758, 356268697786224225) 105
(-353778880809941837, 968744720650776129) 1 | (968744720650776129, 353778880809941837) 4
(-351758611528229952, 617644731391826947) 1 | (617644731391826947, 351758611528229952) 6
(-346288352215478360, 580730716919604669) 8 | (580730716919604669, 346288352215478360) 0
(-336417475922710389, 248701883431181765) 5 | (248701883431181765, 336417475922710389) 2
(-335766336423493833, 365650360957543283) 3 | (365650360957543283, 335766336423493833) 7
(-332717685293140763, 793623081423572252) 6 | (793623081423572252, 332717685293140763) 0
(-330497319178644216, 212940289730181797) 10 | (212940289730181797, 330497319178644216) 84
(-330217300154476203, 420968261040594901) 4 | (420968261040594901, 330217300154476203) 2
(-324901832687561329, 405274211717838664) 4 | (405274211717838664, 324901832687561329) 0
(-324147783175877814, 803114883208953667) 3 | (803114883208953667, 324147783175877814) 4
(-324103598079871922, 53840859454221837) 3 | (53840859454221837, 324103598079871922) 7
(-321433222623460226, 474018056116668195) 4 | (474018056116668195, 321433222623460226) 3
(-317331343279522577, 391563) 6 | (391563, 317331343279522577) 3
(-317202376220639393, 119966711055080811) 2 | (119966711055080811, 317202376220639393) 1
(-309644630823550299, 9496626147450293) 1 | (9496626147450293, 309644630823550299) 1
(-303912492655533323, 480890369) 8 | (480890369, 303912492655533323) 2
(-299354767686332433, 2830829508628) 5 | (2830829508628, 299354767686332433) 5
(-298557966314569928, 81594893094467409) 3 | (81594893094467409, 298557966314569928) 2
(-297147996185845037, 822741759246065199) 3 | (822741759246065199, 297147996185845037) 2
(-291300266913781189, 2631) 5 | (2631, 291300266913781189) 2
(-289342572505161487, 7836) 2 | (7836, 289342572505161487) 5
(-287689381780062648, 13) 3 | (13, 287689381780062648) 0
(-286232877700733544, 832825943941591583) 62 | (832825943941591583, 286232877700733544) 12
(-278970474118117080, 100216621613) 1 | (100216621613, 278970474118117080) 1
(-278038176678827873, 635337405006911736) 28 | (635337405006911736, 278038176678827873) 18
(-277867989769150044, 766638351952221715) 3 | (766638351952221715, 277867989769150044) 1
(-271730783153825048, 38469) 1 | (38469, 271730783153825048) 1
(-268260262165218219, 1) 7 | (1, 268260262165218219) 3
(-262236017361818736, 708291631147940447) 1 | (708291631147940447, 262236017361818736) 6
(-262223562523477186, 439473648339533943) 7 | (439473648339533943, 262223562523477186) 2
(-260480063080033617, 5511104557) 4 | (5511104557, 260480063080033617) 1
(-256749107568924162, 25396901) 5 | (25396901, 256749107568924162) 1
(-254828315004502511, 4) 1 | (4, 254828315004502511) 5
(-251931042153821787, 618262325818892684) 1 | (618262325818892684, 251931042153821787) 1
(-241760442103643392, 928299762303) 3 | (928299762303, 241760442103643392) 4
(-239695402279577693, 153230356996509459) 3 | (153230356996509459, 239695402279577693) 5
(-237514431765902503, 292864638376209210) 6 | (292864638376209210, 237514431765902503) 3
(-236007105045368415, 1754) 1 | (1754, 236007105045368415) 1
(-234013208800229676, 42381643738394561) 10 | (42381643738394561, 234013208800229676) 0
(-231715697990330492, 395119760243639811) 1 | (395119760243639811, 231715697990330492) 9
(-228291539200279022, 232893983349253053) 3 | (232893983349253053, 228291539200279022) 4
(-221430215691796483, 24940019) 6 | (24940019, 221430215691796483) 1
(-219628191382111250, 566089940653305553) 7 | (566089940653305553, 219628191382111250) 0
(-219519967921685563, 134475297625570326) 5 | (134475297625570326, 219519967921685563) 2
(-218155169460601550, 33) 8 | (33, 218155169460601550) 1
(-214097353781306199, 99751) 4 | (99751, 214097353781306199) 2
(-213469917797016835, 757035847590607602) 5 | (757035847590607602, 213469917797016835) 5
(-213203154402781515, 168491974082400977) 5 | (168491974082400977, 213203154402781515) 1
(-207507301876621675, 3587204163) 1 | (3587204163, 207507301876621675) 3
(-206337286721773757, 220557290929260124) 1 | (220557290929260124, 206337286721773757) 2
(-204671527137886097, 422398913852104824) 4 | (422398913852104824, 204671527137886097) 1
(-200061765063810256, 168232534306037657) 8 | (168232534306037657, 200061765063810256) 2
(-199266152350766888, 137982723747564249) 2 | (137982723747564249, 199266152350766888) 8
(-197027939236061225, 378236) 3 | (378236, 197027939236061225) 1
(-195519861531126726, 85514323245583813) 1 | (85514323245583813, 195519861531126726) 1
(-194416713458959142, 723560859834379) 2 | (723560859834379, 194416713458959142) 4
(-192257726154701304, 31706923659539899) 1 | (31706923659539899, 192257726154701304) 1
(-191561783318978174, 77445191762125895) 68 | (77445191762125895, 191561783318978174) 9
(-188467571130210985, 9243680657387) 6 | (9243680657387, 188467571130210985) 1
(-187893894012538545, 85207424298704129) 3 | (85207424298704129, 187893894012538545) 3
(-185776326627711449, 498118765939176220) 37 | (498118765939176220, 185776326627711449) 17
(-184187300196042663, 113095) 4 | (113095, 184187300196042663) 0
(-183532554548704369, 153415569324238802) 2 | (153415569324238802, 183532554548704369) 4
(-183003514677313598, 483626901902995333) 8 | (483626901902995333, 183003514677313598) 2
(-182283099074040014, 4010081) 2 | (4010081, 182283099074040014) 2
(-180505482400529900, 11579381857622179) 1 | (11579381857622179, 180505482400529900) 1
(-176356010650673714, 1879151255511) 6 | (1879151255511, 176356010650673714) 2
(-174403292234050842, 1674833695321) 2 | (1674833695321, 174403292234050842) 7
(-174147234937687447, 426545428279684562) 3 | (426545428279684562, 174147234937687447) 3
(-170482090040071973, 233586114859792474) 4 | (233586114859792474, 170482090040071973) 2
(-168541953725866405, 53608) 44 | (53608, 168541953725866405) 24
(-167141962675117757, 64245920) 4 | (64245920, 167141962675117757) 4
(-163868808266932356, 64102639286488997) 49 | (64102639286488997, 163868808266932356) 50
(-160811022477631678, 90762468484257261) 3 | (90762468484257261, 160811022477631678) 5
(-160462040944806559, 152265) 1 | (152265, 160462040944806559) 2
(-156550394790720135, 165294890478697613) 7 | (165294890478697613, 156550394790720135) 0
(-155846624375139853, 80163201960225935) 3 | (80163201960225935, 155846624375139853) 3
(-154991772178665015, 884880273120895456) 2 | (884880273120895456, 154991772178665015) 6
(-153009420726296241, 773047953510155800) 4 | (773047953510155800, 153009420726296241) 3
(-151554480802574059, 2951069544) 2 | (2951069544, 151554480802574059) 2
(-150099228340258037, 848222491807644426) 2 | (848222491807644426, 150099228340258037) 8
(-148693938257233913, 12564957811030546) 2 | (12564957811030546, 148693938257233913) 5
(-148240379733882212, 87253092137) 93 | (87253092137, 148240379733882212) 5
(-147206410930011410, 62679740249427249) 6 | (62679740249427249, 147206410930011410) 1
(-145720016723964113, 107129770320084405) 2 | (107129770320084405, 145720016723964113) 8
(-145545990096369866, 307462315510515349) 5 | (307462315510515349, 145545990096369866) 2
(-132210180489378813, 45477315716109269) 4 | (45477315716109269, 132210180489378813) 6
(-131266581150321634, 920858771548475167) 1 | (920858771548475167, 131266581150321634) 5
(-128613911678035551, 632760287932546196) 3 | (632760287932546196, 128613911678035551) 1
(-126792928094337887, 19834114493403427) 3 | (19834114493403427, 126792928094337887) 2
(-126599520730375525, 878156481) 2 | (878156481, 126599520730375525) 8
(-126136431673122687, 26889692863909721) 64 | (26889692863909721, 126136431673122687) 25
(-123586563274464355, 167662356672429652) 6 | (167662356672429652, 123586563274464355) 2
(-122454540767102957, 40434028001424993) 1 | (40434028001424993, 122454540767102957) 1
(-121818539445526137, 46178044552) 2 | (46178044552, 121818539445526137) 2
(-119763997973561644, 262017139271844219) 4 | (262017139271844219, 119763997973561644) 2
(-116259164262087976, 240994568142884787) 2 | (240994568142884787, 116259164262087976) 8
(-114687581397293425, 212908590952200077) 8 | (212908590952200077, 114687581397293425) 2
(-113959832314703497, 956064) 4 | (956064, 113959832314703497) 1
(-111903235328028553, 231617398098613424) 5 | (231617398098613424, 111903235328028553) 4
(-106976349976242987, 145427609093) 1 | (145427609093, 106976349976242987) 1
(-105378879808744862, 5076703521222797) 3 | (5076703521222797, 105378879808744862) 1
(-102846059657130251, 142774328851138387) 3 | (142774328851138387, 102846059657130251) 5
(-102798418566667768, 41612505045835389) 5 | (41612505045835389, 102798418566667768) 3
(-101747462824596881, 4422635569748096) 1 | (4422635569748096, 101747462824596881) 9
(-99816265209768032, 62495067441988715) 3 | (62495067441988715, 99816265209768032) 6
(-99126803410722633, 29) 22 | (29, 99126803410722633) 4
(-98269570859006122, 82063783166950539) 23 | (82063783166950539, 98269570859006122) 5
(-97965384300148161, 1321215623) 3 | (1321215623, 97965384300148161) 1
(-96972176879437057, 365972433860728053) 2 | (365972433860728053, 96972176879437057) 1
(-96354763240514207, 27341077475356024) 4 | (27341077475356024, 96354763240514207) 1
(-95226322439370992, 9064001604573) 4 | (9064001604573, 95226322439370992) 6
(-94697282806666654, 69676084433697265) 13 | (69676084433697265, 94697282806666654) 7
(-94628339694765907, 5) 2 | (5, 94628339694765907) 8
(-94250777597171837, 10) 1 | (10, 94250777597171837) 6
(-94178029045334494, 25865915043456653) 1 | (25865915043456653, 94178029045334494) 1
(-93665484135799121, 267292699487630114) 1 | (267292699487630114, 93665484135799121) 1
(-92358293338089140, 763984486394699) 1 | (763984486394699, 92358293338089140) 1
(-91566783015851425, 84698783002302666) 3 | (84698783002302666, 91566783015851425) 3
(-91500345113398697, 502409482) 8 | (502409482, 91500345113398697) 0
(-90610079223337979, 28193888597735438) 5 | (28193888597735438, 90610079223337979) 3
(-90603934726845650, 62422730210698089) 1 | (62422730210698089, 90603934726845650) 1
(-90357306740479027, 916343030070758731) 4 | (916343030070758731, 90357306740479027) 6
(-90114854465541130, 79213087212154059) 6 | (79213087212154059, 90114854465541130) 1
(-89767198226785943, 101762) 5 | (101762, 89767198226785943) 1
(-88608881731843862, 1) 6 | (1, 88608881731843862) 0
(-88574872210135877, 152839315416219476) 3 | (152839315416219476, 88574872210135877) 7
(-88425822220510615, 6996892821201277) 2 | (6996892821201277, 88425822220510615) 1
(-88263788386765308, 71140449293777311) 7 | (71140449293777311, 88263788386765308) 3
(-88247225066424559, 37023235077032538) 6 | (37023235077032538, 88247225066424559) 1
(-88135792607678096, 173183082660441421) 2 | (173183082660441421, 88135792607678096) 3
(-87365461636637849, 703696839207) 5 | (703696839207, 87365461636637849) 1
(-86506562971620336, 5502320467744513) 1 | (5502320467744513, 86506562971620336) 1
(-86204728404365676, 72869) 4 | (72869, 86204728404365676) 1
(-85179814513648733, 60324103342) 10 | (60324103342, 85179814513648733) 0
(-84707665284862646, 10361777180947637) 4 | (10361777180947637, 84707665284862646) 1
(-84472568634077368, 9) 1 | (9, 84472568634077368) 6
(-84431057606109137, 55106566109302825) 2 | (55106566109302825, 84431057606109137) 1
(-84181948657249507, 99186219612544282) 4 | (99186219612544282, 84181948657249507) 0
(-83030305802568214, 56126566071722457) 3 | (56126566071722457, 83030305802568214) 1
(-82795580985695973, 8757366360748) 3 | (8757366360748, 82795580985695973) 1
(-82711693189170292, 37335054572275857) 2 | (37335054572275857, 82711693189170292) 2
(-82558256615738364, 98373890498110325) 3 | (98373890498110325, 82558256615738364) 6
(-82378001532922853, 8504657735) 2 | (8504657735, 82378001532922853) 5
(-82116731412854503, 12686) 7 | (12686, 82116731412854503) 1
(-82090085070488103, 20645512651100839) 2 | (20645512651100839, 82090085070488103) 3
(-81840418132813060, 36311939) 1 | (36311939, 81840418132813060) 4
(-81378660798285231, 4310936526401827) 3 | (4310936526401827, 81378660798285231) 5
(-80571584177459061, 235532230901) 1 | (235532230901, 80571584177459061) 6
(-80562674802192401, 23365442787366513) 1 | (23365442787366513, 80562674802192401) 3
(-80231929905383571, 59215665658138726) 1 | (59215665658138726, 80231929905383571) 4
(-80048251673751542, 28491371424220217) 5 | (28491371424220217, 80048251673751542) 1
(-79943159611982808, 89153860231664815) 3 | (89153860231664815, 79943159611982808) 1
(-79241414356806260, 98160471557964329) 7 | (98160471557964329, 79241414356806260) 3
(-79215125203423205, 31940504874656767) 4 | (31940504874656767, 79215125203423205) 4
(-79021440417407993, 70577634993) 5 | (70577634993, 79021440417407993) 1
(-78921917860354450, 249244623947548343) 10 | (249244623947548343, 78921917860354450) 0
(-78771433632549377, 4658242422791077) 2 | (4658242422791077, 78771433632549377) 7
(-78415009438968683, 53300157807906748) 1 | (53300157807906748, 78415009438968683) 4
(-77206733470943539, 51703533349861964) 1 | (51703533349861964, 77206733470943539) 7
(-77056646478641771, 472241006) 1 | (472241006, 77056646478641771) 5
(-76679047707568083, 80698892518517924) 2 | (80698892518517924, 76679047707568083) 1
(-76241228513923613, 70311204621084768) 7 | (70311204621084768, 76241228513923613) 1
(-76157749233527881, 99137644) 30 | (99137644, 76157749233527881) 42
(-76127922181514083, 12031476919193829) 1 | (12031476919193829, 76127922181514083) 1
(-75924805716460461, 58453291301968897) 2 | (58453291301968897, 75924805716460461) 5
(-75876739455958727, 54702688186965164) 2 | (54702688186965164, 75876739455958727) 0
(-75767690207182413, 22550364674733433) 2 | (22550364674733433, 75767690207182413) 1
(-74263737036275489, 105036946946030696) 6 | (105036946946030696, 74263737036275489) 3
(-74051030630814236, 9) 8 | (9, 74051030630814236) 2
(-73587632050680556, 77662991159820115) 2 | (77662991159820115, 73587632050680556) 3
(-73339875535280911, 31464971) 1 | (31464971, 73339875535280911) 1
(-73082331913311803, 12684644630648793) 9 | (12684644630648793, 73082331913311803) 7
(-72931848875652142, 17675065445250007) 1 | (17675065445250007, 72931848875652142) 2
(-71935899189242653, 4) 2 | (4, 71935899189242653) 2
(-71182960811172977, 205403542) 2 | (205403542, 71182960811172977) 7
(-70586151331062585, 36702893004017122) 1 | (36702893004017122, 70586151331062585) 2
(-69840115998567682, 20975033519271931) 1 | (20975033519271931, 69840115998567682) 2
(-69341678175946739, 91934835453114404) 2 | (91934835453114404, 69341678175946739) 1
(-68988620846906242, 7826119838203519) 24 | (7826119838203519, 68988620846906242) 26
(-68848265203689737, 72367686835163942) 1 | (72367686835163942, 68848265203689737) 5
(-67352805932104329, 5797743371968) 6 | (5797743371968, 67352805932104329) 3
(-66947238268555694, 15570522056027865) 1 | (15570522056027865, 66947238268555694) 2
(-66793003674200528, 9710361) 5 | (9710361, 66793003674200528) 3
(-66326545048166397, 27878490964689221) 6 | (27878490964689221, 66326545048166397) 4
(-66114773637037609, 20581413221634207) 8 | (20581413221634207, 66114773637037609) 2
(-65776772961904587, 82669383509739854) 70 | (82669383509739854, 65776772961904587) 0
(-65692862721073257, 70847780642701) 5 | (70847780642701, 65692862721073257) 1
(-65566383947224598, 56872373873599651) 9 | (56872373873599651, 65566383947224598) 1
(-64576601568758428, 65123) 1 | (65123, 64576601568758428) 3
(-64564747594813301, 79372178302426041) 3 | (79372178302426041, 64564747594813301) 5
(-64279552515495235, 2936250187025601) 7 | (2936250187025601, 64279552515495235) 0
(-64203311758506563, 79639617705885697) 2 | (79639617705885697, 64203311758506563) 6
(-64035590587226709, 7231300420199489) 1 | (7231300420199489, 64035590587226709) 16
(-63988859769933119, 78182221404871) 4 | (78182221404871, 63988859769933119) 6
(-62778879365138653, 24038944794507857) 4 | (24038944794507857, 62778879365138653) 2
(-62120680078004689, 27331269696246469) 2 | (27331269696246469, 62120680078004689) 4
(-61834389366620908, 685) 5 | (685, 61834389366620908) 2
(-61534104277986181, 16291147827041840) 1 | (16291147827041840, 61534104277986181) 6
(-61039818211173069, 133717925) 3 | (133717925, 61039818211173069) 3
(-60938728061901206, 85218649721808793) 1 | (85218649721808793, 60938728061901206) 2
(-60552642596752851, 601) 3 | (601, 60552642596752851) 1
(-60543453708510943, 82970980285685303) 3 | (82970980285685303, 60543453708510943) 1
(-60370434251773606, 1829407377135) 7 | (1829407377135, 60370434251773606) 2
(-60216274332443608, 8753646588659943) 3 | (8753646588659943, 60216274332443608) 3
(-59329633062675046, 3317730175671) 1 | (3317730175671, 59329633062675046) 1
(-58842955644167701, 36976352315064396) 1 | (36976352315064396, 58842955644167701) 1
(-58796539548773111, 21760493148141927) 2 | (21760493148141927, 58796539548773111) 2
(-58789907621288261, 1) 1 | (1, 58789907621288261) 2
(-58783227847482669, 1199380652) 1 | (1199380652, 58783227847482669) 6
(-58615264655358925, 188619608921675738) 1 | (188619608921675738, 58615264655358925) 7
(-58559723966686884, 10925253230714317) 3 | (10925253230714317, 58559723966686884) 2
(-58348427481815337, 15045406345037) 1 | (15045406345037, 58348427481815337) 1
(-57789394123462675, 72864928) 39 | (72864928, 57789394123462675) 18
(-57710323510973062, 152098611274370785) 3 | (152098611274370785, 57710323510973062) 2
(-57608661217263655, 69408380737982468) 1 | (69408380737982468, 57608661217263655) 1
(-57216125171702465, 14923978177073144) 30 | (14923978177073144, 57216125171702465) 49
(-56853374717872147, 20257551364148486) 35 | (20257551364148486, 56853374717872147) 2
